date,Al,As,B,Br,Ca,Cl,F,Fe,H2S,HCO3,K,Li,Mg,NH3,NO3-N,Na,PO4-P,SO4,SiO2,d18O,d2H,pH,domain,station,sensorcode,method,aspect,times,feature,station_name,station_latitude,station_longitude,station_elevation,station_datum
2020-06-26,0.05,0.0,0.21,0.0,27.0,7.2,0.04,0.0,0.0,46.0,2.8,0.008,13.3,0.0,0.09,12.9,0.0,109.0,36.0,-8.82,-54.9,6.56,manualcollect,RU020,MC01,water-analysis-lab,nil,2020-01-01/2024-01-01,stream,Ruapehu Silica Rapids,-39.224927,175.527965,1280.0,WGS84
2021-06-24,0.04,0.0,0.2,0.0,25.0,7.2,0.04,0.0,0.0,67.0,2.7,0.008,12.6,0.0,0.1,11.9,0.0,109.0,34.0,-8.71,-53.1,6.58,manualcollect,RU020,MC01,water-analysis-lab,nil,2020-01-01/2024-01-01,stream,Ruapehu Silica Rapids,-39.224927,175.527965,1280.0,WGS84
2022-05-18,0.04,0.0,0.2,0.0,25.0,6.7,0.03,0.02,0.0,52.0,2.3,0.005,11.3,0.0,0.08,11.8,0.0,101.0,36.0,-8.85,-54.7,6.23,manualcollect,RU020,MC01,water-analysis-lab,nil,2020-01-01/2024-01-01,stream,Ruapehu Silica Rapids,-39.224927,175.527965,1280.0,WGS84
2023-05-31,0.06,0.0,0.19,0.0,25.0,6.2,0.04,0.005,0.0,43.0,2.7,0.02,12.1,0.0,0.08,11.4,0.0,95.0,36.0,-8.65,-54.4,6.47,manualcollect,RU020,MC01,water-analysis-lab,nil,2020-01-01/2024-01-01,stream,Ruapehu Silica Rapids,-39.224927,175.527965,1280.0,WGS84
